,path,volume,slice,label,num_abnomal_pixels
0,/kaggle/input/lits-dataset/data/volume-0-slice-45.npz,0,45,0,0
1,/kaggle/input/lits-dataset/data/volume-0-slice-46.npz,0,46,1,14
2,/kaggle/input/lits-dataset/data/volume-0-slice-47.npz,0,47,0,0
3,/kaggle/input/lits-dataset/data/volume-0-slice-48.npz,0,48,0,0
4,/kaggle/input/lits-dataset/data/volume-0-slice-49.npz,0,49,0,0
5,/kaggle/input/lits-dataset/data/volume-0-slice-50.npz,0,50,0,0
6,/kaggle/input/lits-dataset/data/volume-0-slice-51.npz,0,51,0,0
7,/kaggle/input/lits-dataset/data/volume-0-slice-52.npz,0,52,0,0
8,/kaggle/input/lits-dataset/data/volume-0-slice-53.npz,0,53,0,0
9,/kaggle/input/lits-dataset/data/volume-0-slice-54.npz,0,54,0,0
10,/kaggle/input/lits-dataset/data/volume-0-slice-55.npz,0,55,0,0
11,/kaggle/input/lits-dataset/data/volume-0-slice-56.npz,0,56,1,53
12,/kaggle/input/lits-dataset/data/volume-0-slice-57.npz,0,57,1,112
13,/kaggle/input/lits-dataset/data/volume-0-slice-58.npz,0,58,1,172
14,/kaggle/input/lits-dataset/data/volume-0-slice-59.npz,0,59,1,109
15,/kaggle/input/lits-dataset/data/volume-0-slice-60.npz,0,60,1,66
16,/kaggle/input/lits-dataset/data/volume-0-slice-61.npz,0,61,1,30
17,/kaggle/input/lits-dataset/data/volume-0-slice-62.npz,0,62,1,6
18,/kaggle/input/lits-dataset/data/volume-0-slice-63.npz,0,63,0,0
19,/kaggle/input/lits-dataset/data/volume-0-slice-64.npz,0,64,0,0
20,/kaggle/input/lits-dataset/data/volume-0-slice-65.npz,0,65,1,6
21,/kaggle/input/lits-dataset/data/volume-0-slice-66.npz,0,66,1,52
22,/kaggle/input/lits-dataset/data/volume-0-slice-67.npz,0,67,1,23
23,/kaggle/input/lits-dataset/data/volume-0-slice-68.npz,0,68,1,15
24,/kaggle/input/lits-dataset/data/volume-0-slice-69.npz,0,69,1,47
25,/kaggle/input/lits-dataset/data/volume-0-slice-70.npz,0,70,1,12
26,/kaggle/input/lits-dataset/data/volume-0-slice-71.npz,0,71,1,52
27,/kaggle/input/lits-dataset/data/volume-0-slice-72.npz,0,72,1,56
28,/kaggle/input/lits-dataset/data/volume-0-slice-73.npz,0,73,0,0
29,/kaggle/input/lits-dataset/data/volume-1-slice-45.npz,1,45,0,0
30,/kaggle/input/lits-dataset/data/volume-1-slice-46.npz,1,46,0,0
31,/kaggle/input/lits-dataset/data/volume-1-slice-47.npz,1,47,0,0
32,/kaggle/input/lits-dataset/data/volume-1-slice-48.npz,1,48,0,0
33,/kaggle/input/lits-dataset/data/volume-1-slice-49.npz,1,49,0,0
34,/kaggle/input/lits-dataset/data/volume-1-slice-50.npz,1,50,0,0
35,/kaggle/input/lits-dataset/data/volume-1-slice-51.npz,1,51,0,0
36,/kaggle/input/lits-dataset/data/volume-1-slice-52.npz,1,52,0,0
37,/kaggle/input/lits-dataset/data/volume-1-slice-53.npz,1,53,0,0
38,/kaggle/input/lits-dataset/data/volume-1-slice-54.npz,1,54,0,0
39,/kaggle/input/lits-dataset/data/volume-1-slice-55.npz,1,55,0,0
40,/kaggle/input/lits-dataset/data/volume-1-slice-56.npz,1,56,1,25
41,/kaggle/input/lits-dataset/data/volume-1-slice-57.npz,1,57,1,240
42,/kaggle/input/lits-dataset/data/volume-1-slice-58.npz,1,58,1,280
43,/kaggle/input/lits-dataset/data/volume-1-slice-59.npz,1,59,1,189
44,/kaggle/input/lits-dataset/data/volume-1-slice-60.npz,1,60,1,144
45,/kaggle/input/lits-dataset/data/volume-1-slice-61.npz,1,61,1,106
