path,label,volume,slice,label0_pxl_cnt,label1_pxl_cnt,label2_pxl_cnt,background_ratio,unhealthy_cnt
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_80.npz,1,41,80,0,1096,0,0.980972222,1096
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_81.npz,1,41,81,0,1054,0,0.981701389,1054
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_82.npz,1,41,82,0,1013,0,0.982413194,1013
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_83.npz,1,41,83,0,1016,0,0.982361111,1016
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_84.npz,1,41,84,0,1024,0,0.982222222,1024
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_85.npz,1,41,85,0,994,0,0.982743056,994
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_86.npz,1,41,86,0,960,0,0.983333333,960
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_87.npz,1,41,87,0,958,0,0.983368056,958
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_88.npz,1,41,88,0,946,0,0.983576389,946
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_89.npz,1,41,89,0,889,0,0.984565972,889
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_90.npz,1,41,90,0,832,0,0.985555556,832
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_91.npz,1,41,91,0,752,0,0.986944444,752
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_92.npz,1,41,92,0,678,0,0.988229167,678
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_93.npz,1,41,93,0,628,0,0.989097222,628
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_94.npz,1,41,94,0,623,0,0.989184028,623
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_95.npz,1,41,95,0,591,0,0.989739583,591
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_96.npz,1,41,96,0,570,0,0.990104167,570
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_97.npz,1,41,97,0,514,0,0.991076389,514
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_98.npz,1,41,98,0,479,0,0.991684028,479
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_99.npz,1,41,99,0,440,0,0.992361111,440
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_100.npz,1,41,100,0,377,0,0.993454861,377
